제목,가수,장르,가사
Permission to Dance,방탄소년단,댄스,"It’s the thought of being young
When your heart’s just like a drum
Beating louder with no way to guard it
When it all seems like it’s wrong
Just sing along to Elton John
And to that feeling, we’re just getting started

When the nights get colder
And the rhythms got you falling behind
Just dream about that moment
When you look yourself right in the eye, eye, eye
Then you say

I wanna dance
The music’s got me going
Ain’t nothing that can stop how we move yeah
Let’s break our plans
And live just like we’re golden
And roll in like we’re dancing fools

We don’t need to worry
‘Cause when we fall we know how to land
Don’t need to talk the talk, just walk the walk tonight
‘Cause we don’t need permission to dance

There’s always something that’s standing in the way
But if you don’t let it faze ya
You’ll know just how to break
Just keep the right vibe yeah
‘Cause there’s no looking back
There ain’t no one to prove
We don’t got this on lock yeah

The wait is over
The time is now so let’s do it right
Yeah we’ll keep going
And stay up until we see the sunrise
And we’ll say

I wanna dance
The music’s got me going
Ain’t nothing that can stop how we move yeah
Let’s break our plans
And live just like we’re golden
And roll in like we’re dancing fools

We don’t need to worry
‘Cause when we fall we know how to land
Don’t need to talk the talk, just walk the walk tonight
‘Cause we don’t need permission to dance

Da na na na na na na
Da na na na na na na
Da na na na na na na
No, we don’t need permission to dance

Da na na na na na na
Da na na na na na na
Da na na na na na na

Well let me show ya
That we can keep the fire alive
‘Cause it’s not over
Till it’s over say it one more time
Say

I wanna dance
The music’s got me going
Ain’t nothing that can stop how we move yeah
Let’s break our plans
And live just like we’re golden
And roll in like we’re dancing fools

We don’t need to worry
‘Cause when we fall we know how to land
Don’t need to talk the talk, just walk the walk tonight
‘Cause we don’t need permission to dance"
너를 생각해,주시크 (Joosiq),"R&B/Soul, 인디음악","너를 들려주고 싶었어
이 노랠 만들 때
아마 니가 정말 많이 좋아할꺼야
이젠 내겐 니가 없어서
나 혼자 불러도
혹시 듣게 되면 그게 니 얘기라고
난 노랠 만들 땐
늘 너를 생각해
어딘가 혼자 진지한 표정
고개를 끄덕거리고 나선
항상 흥얼거리며 따라 불렀어
나를 보며 신나있던 너에게
불러주고 싶던 노래를
왜 이제야 겨우 완성했을까
이 노랜 널 사랑한다는 내 얘기가
잔뜩 들어갔어야 하는 노랜데
너를 들려주고 싶었어
이 노랠 만들 때
아마 니가 정말 많이 좋아할꺼야
이젠 내겐 니가 없어서
나 혼자 불러도
혹시 듣게 되면 그게 니 얘기라고
니가 자주 가곤했던 카페에
이 노래가 나올 때까지
니 친구가 따라 부를 때까지
이 노랠 유명해지게 계속 불러서
나는 너에게로 꼭 닿고 말거야
너를 들려주고 싶었어
이 노랠 만들때
아마 니가 정말 많이 좋아할꺼야
이젠 내겐 니가 없어서
나 혼자 불러도
혹시 듣게 되면 그게 니 얘기라고
너를 사랑할땐 몰랐던
바보라 미안해
아마 이걸 듣고 너는 원망하겠지
이젠 내가 많이 잘할게
너 혼자 울지마
혹시 듣게 되면 아직 너뿐이라고"
_WORLD,세븐틴,R&B/Soul,"Hey 아까부터 널 봤어
우린 처음이지만 모든 재미를 느낄 수 있어 더 알고 싶어
Hey 웃지만 말고 말이야
가본 적이 없는 곳에 너를 데려가 줄게

Come with me, put it on put it on me
You got this, put it on put it on me
결국 내 손을 잡을 거야
Cause I know that you’ve been dreaming

마치 천국의 Deja vu
지금부터 난 널 만나 Interview
네가 원한 모든 걸 다 줄 수가 있어
너의 어두운 모습까지도
Come Come into my world

Won’t let you down
Won’t let you down
내게로 와
In my In my In my new world

Knock knock knockin’ on heaven’s door
Whipped cream cloud 손끝으로 쓸어
내 All star 밑에 딛고 날아 Sunset
넘 빠름 I’ma take it slow

슬픔이 없는 곳에서 이대로 춤을 춰
박자에 맞춰 박수
넌 영원을 내게 줘 기쁨의 맛을 더
영원에 영원을 더 더 더 더

Come with me, put it on put it on me
You got this, put it on put it on me
결국 내 손을 잡을 거야
Cause I know that you’ve been dreaming

마치 천국의 Deja vu
지금부터 난 널 만나 Interview
네가 원한 모든 걸 다 줄 수가 있어
너의 어두운 모습까지도
Come Come into my world

Won’t let you down
Won’t let you down
내게로 와
In my In my In my new world

We got the heart We got the soul
이대로 우리 맘을 열어
너에게 넌 나에게
새로운 미래를 열어줘 나 손을 놓지 않을게
Trust in me baby I can see

마치 천국의 Deja vu
지금부터 난 널 만나 Interview
네가 원한 모든 걸 다 줄 수가 있어
너의 어두운 모습까지도
Come Come into my world

Won’t let you down
Won’t let you down
내게로 와
In my In my In my new world"
팡파레,다비치,발라드,"코끝을 간지럽히는 살랑 부는 바람이
눈 감으면 어디든
네 곁에 데려가 주길
어느새 내 맘이 춤을 추네
한없이 예쁜 날이야
꿈꾸던 시간이
마치 오늘인 것만 같아
맘이 두근거리다 심장이 쿵 떨어져
후 살며시 네가 불어와
눈부신 하늘이 되어 다 물들어가요
유난히 달콤한 햇살 팡파레를 울려요
한껏 들뜬 발걸음으로 반겨줘요
따스한 그대의 품속으로
바쁘게 달려가 힘껏 안겨볼래요
시작될 거야 너와 내 이야기
샤라랄 라라랄 라라랄 꽃눈이 내려요
옷장 가득히 싱그러운 설렘이 하나둘
아껴 둔 마음 꺼내 입고서
널 만나러 가요
살며시 네가 불어와
눈부신 하늘이 되어 다 물들어가요
유난히 달콤한 햇살 팡파레를 울려요
한껏 들뜬 발걸음으로 반겨줘요
따스한 그대의 품속으로
바쁘게 달려가 힘껏 안겨볼래요
시작될 거야 너와 내 이야기
때론 빗방울 떨어져
잠시 우리 옷깃을 적셔
찡그린 날도 있겠지만
상상만 해도 찬란한 꿈을 꾸는 거야
하늘에 꽃눈이 내려 여기저기 날려요
머리가 어지러울 만큼 행복해요
웅크렸던 만큼
소중히 내가 지켜 갈게요
그대와 함께하는 사랑스런 날이야
유난히 달콤한 햇살 팡파레를 울려요
한껏 들뜬 발걸음으로 반겨줘요
따스한 그대의 품속으로
바쁘게 달려가 힘껏 안겨볼래요
시작될 거야 너와 내 이야기
샤라랄 라라랄 라라랄 꽃눈이 내려요"
새벽에 걸려온 너의 전화는,한동근,발라드,"사랑한다 말하고 보고 싶다 말하고
많은 걸 약속하고 미래를 꿈꾸던 날들
내가 줬던 사랑이 당연해진 걸까
언제부터 너의 맘이 변했을까
갑자기 온 전화는 날 불안하게 만들어
혹시 무슨 일 있는 건지 걱정을 하다
다시 만나자고 하지는 않을까
괜한 기대를 해 잠들 수 없어
새벽에 걸려온 너의 전화는
그리움보다는
실수였다고 난 생각할게
냉정하게 뿌리치고 매달렸던
날 밀어낸 넌데
뜨는 너의 이름에 눈물만
미안한 마음이야 아쉬운 마음이야
애써 날 위해 주는척한 행동인 거니
받아볼까 하다 정신을 차렸어
목소리를 들으면 울 것 같아서
새벽에 걸려온 너의 전화는
그리움보다는
실수였다고 난 생각할게
냉정하게 뿌리치고 매달렸던
날 밀어낸 넌데
뜨는 너의 이름에 눈물만
상처받은 내 마음을 알아줘
내가 아픈 만큼 더 힘들어줘
내가 좀 유치해 보인다 해도
새벽에 걸려온 너의 전화는
울리는 단 몇 초의 벨 소리에
널 미워한 맘이
완벽히 무너질 것 같았어
잊으려 몸부림치고
내 삶에서 분명 지웠는데
뜨는 너의 이름에 눈물만"
Sparkling,청하,댄스,"Come and, talk to me baby
뭐든 콕 찝어 말을 해줘
사소한 것까지
Tell me what to do, what to do

Touch 딱 한번에 설레는 게 (ah-oop)
Ouch 따끔한 듯 상큼하게 (ah-oop)
어쩜 아찔한 듯 위험해
Tell me what to do, what to do

조심스럽게
터져버리지 않게 No
거품처럼 사라지지 않게 Away

나를 톡 쏘게 만들어줘 Oh
Baby you’re all mine mine I, I, I
천천히 열어봐줘 Oh
Baby you’re all mine mine I, I, I

So, you make me sparkle
Oh, I'll be your sparkle
Sparkling

구슬처럼 터진 Flavor
구름처럼 Oh my favorite
(Take me all the way)
꿈결 같애 Oh 나를 볼 때
Fallin’, lovin’, Imma dive in

Gosh 화끈 달아오른 듯해 (ah-oop)
Crush 애가 타고 안달 나게 (ah-oop)
더 짜릿한 게 필요해
Tell me what to do, what to do

조심스럽게
흔들리지 않게 No
커진 내 마음 넘치지 않게 Oh

나를 톡 쏘게 만들어줘 Oh
Baby you’re all mine mine I, I, I
천천히 열어봐줘 Oh
Baby you’re all mine mine I, I, I

So, you make me sparkle
Oh, I'll be your sparkle
Sparkling

Will you love me yeah, love me yeah baby
(Could you hold me tight)
You can trust me yeah, trust me yeah baby

너의 두 눈 속에 나
더 깊이 빠져들어 Now

나를 톡 쏘게 만들어줘 Oh
Baby you’re all mine mine I, I, I
네 맘을 다 보여줘 Oh
Baby you’re all mine mine I, I, I
So, you make me sparkle
Oh, I'll be your sparkle
Sparkling

Sparkling"
눈을 감으면,WSG워너비,발라드,"아마도 우린 특별할 것 없는
뻔한 이별이라고 주제넘게 널 달래다
재미없고 뻔한 말로 한참을 둘러대다
그동안 고마웠어 모질게
너와 헤어지던 날
한심하고 철없고 실망스런
내 모습에 어쩌면
더 빨리 날 잊을 테니까
날 더 미워하게 더 모질게
끝내 널 밀어내놓고
아무렇지 않은 척
나 이렇게 잘 살고 있어
눈을 감으면 니가 또 생각나
안 되는 줄 알면서도
널 부르고 널 외우고
잊혀질까 걱정을 하고
어쩌면 나는 나보다
너를 사랑한 걸까
몇 번이고 내게 되묻고는 했어
너와 같이 있을 때도
딴 생각을 하곤 했어
따로 먹고 따로 자던 게
익숙했던 날
오랜 친구처럼 편하다며
그래서 우린 만났고
그래서 우린 서로 아무것도
못 참았던 거야
눈을 감으면 니가 또 생각나
안 되는 줄 알면서도
널 부르고 널 외우고
잊혀질까 걱정을 하고
어쩌면 나는 나보다 너를 사랑한 걸까
몇 번이고 내게 되묻고는 했어
다시 우리 예전처럼
평범한 저녁 안부를 묻고
아무 일 없던 것처럼 돌아갈 수 있을까
바보처럼 다하지 못 했던
말을 남겨둔 채
내가 많이 미안해 끝내
하지 못한 말 널 사랑해 (널 사랑해)
참 고마웠어 넌 나의 세상이었어
이제 우리 헤어지면
다시는 볼 수 없을 텐데
(볼 수 없을 텐데)
어디서부터 어떻게
네게 말 할 수 있을까
돌려 말하는 거 못 하잖아 (말 못 하잖아)
그래도 기억해줄래 (기억해 줘)
우리만 따뜻했던 그 봄날을"
바라만 본다,MSG워너비(M.O.M),발라드,"내가 너라면 다 알아볼 텐데
널 위할 사람 찾아낼 텐데
지난 오랜 시간 너의 그 곁을
지켜온 나라는 걸
내가 너였다면 참 행복할 텐데
한 사람을 다 가졌으니까
둔한 바보도 눈치챌 그 사랑을
너만 왜 모르니
너를 바라만 바라만 본다
외쳐 네 이름만 부른다
보고 싶은 맘에 너를 향한 그 발걸음
네 곁을 맴도는데
오늘도 그리고 그리워하다
애써 참았던 눈물이 흘러
그저 멀리서만 바라보다
또 소리쳐 네가 보고 싶다
네가 나라면 더 참 아팠을 텐데
슬픈 역할은 내가 맡을게
웃는 모습만 보이며 살아가 줘
내가 볼 수 있게
너를 바라만 바라만 본다
외쳐 네 이름만 부른다
보고 싶은 맘에 너를 향한 그 발걸음
네 곁을 맴도는데
오늘도 그리고 그리워하다
애써 참았던 눈물이 흘러
그저 멀리서만 바라보다 또 소리쳐
네가 보고 싶다
한 걸음 더 다가갈까
더 가까이 네게 갈까 OH
어제보다 더 내일 더 널 사랑해
I’ll make you love me someday
혼자 바라고 바라만 보다
울컥 그리움이 솟는다
바보 같은 맘에 하지 못한 그 한마디
널 사랑한다는 말
얼마나 그리고 그리워해야
내 맘 너의 곁에 닿게 될까
매일 하루 종일 너의 생각에 사무쳐
너무 보고 싶다"
밤하늘의 별을(2020),경서,발라드,"밤하늘의 별을 따서 너에게 줄래
너는 내가 사랑하니까
더 소중하니까
오직 너 아니면 안 된다고
외치고 싶어 그저
내 곁에만 있어줘
떠나지 말아줘
참 많이 어색했었죠 널 처음 만난 날
멀리서 좋아하다가 들킨 사람처럼
숨이 가득 차올라서
아무 말 하지 못했는데
너는 말 없이 웃으며 내 손 잡아줬죠
밤하늘의 별을 따서 너에게 줄래
너는 내가 사랑하니까
더 소중하니까
오직 너 아니면 안 된다고
외치고 싶어
그저 내 곁에만 있어줘
떠나지 말아줘
널 좋아하는 내 마음이 표현이 안 돼
꿈이 아니면 좋겠어 자꾸 웃음 나와
내 모든 걸 다 준대도
너에겐 아깝질 않아
이 순간이 영원하길 난 정말 행복해
밤하늘의 별을 따서 너에게 줄래
너는 내가 사랑하니까
더 소중하니까
오직 너 아니면 안 된다고
외치고 싶어
그저 내 곁에만 있어줘
떠나지 말아줘
그저 내 곁에만 있어줘
떠나지 말아줘
많고 많은 사람 중에
너를 만나서 행복하고 싶어
두 번 다시 울지 않을래
오직 내 눈에는 너만 보여
나를 아껴줘 이제부터
혼자가 아니야 우린 함께니까
나나나 난난 난난나
나나나 난난 난난나
나 나나나 난난 난난나 나나난나
나나나 난난 난난나
나나나 난난 난난나
나 나나나 난난 난난나 나나난나"
고백하는 취한밤에 (Prod. 2soo),임재현,"발라드, 인디음악","오랜만에 이렇게 밖에서 술마시니까
니가 옆에 있는것같아
너는 무슨 생각해
니가 좋아하는 노래도
길거리에 나오고
사람들도 모두다 즐거워보이는데
지금 당장 너에게 전화를 걸고싶지만
아침 눈을 떴을때 후회할까봐 두려워
아직도 왜 넌 내맘 몰라 바보야
니가 보고싶어서 니가 생각이 나서
하루종일 니가 내 머리속을 걸어다녀
나 취해서 하는말 아냐
너를 좋아해
기분도 좀 그냥 그렇고
골목길을 걸었어
잠도 안오고 왠지 너를 볼것같아서
가로등의 불빛도 나를 비춰주는데
이 길끝에 니가 있음 얼마나좋을까
난 이렇게 니가 너무나 보고싶은데
넌 내가 조금도
보고싶지 않을까 두려워
아직도 왜 넌 내맘 몰라 바보야
니가 보고싶어서 니가 생각이 나서
하루종일 니가 내 머리속을 걸어다녀
나 취해서 하는말 아냐
나랑 사귈래
왜 니앞에만 서면 연습했던 그말도
잘 나오지 않는걸까
어떻게해야 내맘 전할 수 있을까
멋진 말도 못하고 서툰 나의 표현에
이런 내게서 더 멀어지지 않길바래
이것만큼은 진심이야
너를 사랑해"
"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,랩/힙합,"내가 슬플 때마다
이 노래가 찾아와
세상이 둥근 것처럼 우린 동글동글

인생은 회전목마
우린 매일 달려가
언제쯤 끝나 난 잘 몰라

어머, 벌써 정신없이 달려왔어
Speed up 어제로 돌아가는 시곌 보다가
어려워 어른이 되어가는 과정이 Uh huh
On the road, 24 시간이 아까워 Uh huh
Big noise, Everything brand new
어렸을 때처럼 바뀌지 않는 걸
찾아 나섰단 말야 왜냐면 그때가 더 좋았어 난
So let me go back
타임머신 타고 I'll go back
승호가 좋았을 때처럼만

내가 슬플 때마다
이 노래가 찾아와
세상이 둥근 것처럼 우리
인생은 회전목마
우린 매일 달려가
언제쯤 끝나 난 잘 몰라

빙빙 돌아가는 회전목마처럼
영원히 계속될 것처럼
빙빙 돌아올 우리의 시간처럼
인생은 회전목마

어머 벌써 정신없이 달려왔어
Speed up 어제로 돌아가는 시곌 보다가
청춘까지 뺏은 현재
탓할 곳은 어디 없네
Twenty two 세에게 너무 큰 벽
그게 말로 하고 싶어도 어려웠어
가끔은 어렸을 때로 돌아가
불가능하단 건 나도 잘 알아
그 순간만 고칠 수 있다면
지금의 나는 더 나았을까

달려가는 미터기 돈은 올라가
기사님과 어색하게 눈이 맞아
창문을 열어보지만 기분은 좋아지지 않아
그래서 손을 밖으로 쭉 뻗어 쭉 뻗어
흔들리는 택시는 어느새
목적지에 도달했다고 해
방 하나 있는 내 집 안의
손에 있던 짐들은

내가 힘들 때마다
이 노래가 찾아와
세상이 둥근 것처럼 우리
인생은 회전목마
우린 계속 달려가
언제쯤 끝날지 잘 몰라

빙빙 돌아가는 회전목마처럼
영원히 계속될 것처럼
빙빙 돌아올 우리의 시간처럼
인생은 회전목마

I'm on a TV show
You would never even know
사실 얼마나 많이
불안했는지
정신없이 돌아서
어딜 봐야 할지 모르겠어
들리나요 여길 보란 말이

빙빙 돌아가는 회전목마처럼
영원히 계속될 것처럼
빙빙 돌아올 우리의 시간처럼
인생은 회전목마

빙빙 돌아가는 회전목마처럼
영원히 계속될 것처럼
빙빙 돌아올 우리의 시간처럼
인생은 회전목마"
드라마,아이유,발라드,"나도 한때는 그이의 손을 잡고
내가 온 세상 주인공이 된 듯
꽃송이의 꽃잎 하나하나까지
모두 날 위해 피어났지

올림픽대로 뚝섬 유원지
서촌 골목골목 예쁜 식당
나를 휘청거리게 만든
주옥같은 대사들

다시 누군가 사랑할 수 있을까
예쁘다는 말 들을 수 있을까
하루 단 하루만 기회가 온다면
죽을힘을 다해 빛나리

언제부턴가 급격하게
단조로 바뀌던 배경음악
조명이 꺼진 세트장에
혼자 남겨진 나는

단역을 맡은 그냥 평범한 여자
꽃도 하늘도 한강도 거짓말
나의 드라마는 또 이렇게 끝나
나왔는지조차 모르게

끝났는지조차 모르게"
내 손을 잡아,아이유,"발라드, 국내드라마","느낌이 오잖아

떨리고 있잖아

언제까지 눈치만 볼 거니

네 맘을 말해봐

딴청 피우지 말란 말이야

네 맘 가는 그대로

지금 내 손을 잡아

어서 내 손을 잡아

우연히 고개를 돌릴 때 마다

눈이 마주치는 건

며칠 밤 내내 꿈속에 나타나

밤새 나를 괴롭히는 건

그 많은 빈자리 중에서 하필

내 옆자릴 고르는 건

나도 모르게 어느새 실없는 웃음

흘리고 있다는 건

그럼 말 다했지 뭐

우리 얘기 좀 할까

느낌이 오잖아 떨리고 있잖아

언제까지 눈치만 볼 거니

네 맘을 말해봐

딴청 피우지 말란 말이야

네 맘 가는 그대로

지금 내 손을 잡아

핸드폰 진동에

심장이 덜컥내려 앉는다는 건

오 나도 모르게

어느새 짓궂은 네 말투

자꾸 듣고 싶은걸

어떡해

저기 멀리 걸어온다

눈이 마주친다

언제까지 넌 모른척 할거니

사랑이 온거야 너와 나 말이야

네가 좋아 정말 못 견딜 만큼

그거면 된거야

더는 생각하지 말란 말이야

네 맘 가는 그대로

느낌이 오잖아 떨리고 있잖아

언제까지 눈치만 볼 거니

네 맘을 말해봐

딴청 피우지 말란 말이야

네 맘 가는 그대로

지금 내 손을 잡아

그냥 내 손을 잡아

지금 내 손을 잡아"
사랑이야,케이시 (Kassy),발라드,"사랑해 수많은 밤이 지나도
환히 빛나는 저 별처럼
변하지 않을 내 사랑이야
사랑할 줄 알았어
널 처음 본 그날
운명인 것 같았어
너와 나 둘이서
조금씩 조금씩
아껴둔 내 마음을
조심스레 난 고백할래
사랑해 수많은 밤이 지나도
환히 빛나는 저 별처럼
변하지 않을 내 사랑이야
내 맘 받아주겠니
사랑해 사랑해 난 항상
너뿐이야 식지 않을 사랑이야
Always you are my love
Love you forever
힘든 일이 있을 땐
같이 울어주고
지친 날엔 괜찮다
손 꼭 잡아주는
한걸음 한걸음
다가온 너란 행운
하루하루 매일 감사해
사랑해 수많은 밤이 지나도
환히 빛나는 저 별처럼
변하지 않을 내 사랑이야
내 맘 받아주겠니
사랑해 사랑해 난 항상
너뿐이야 식지 않을 사랑이야
넌 모를 거야
얼마나 내가
눈물 나도록 너를
사랑하는지
사랑해 수많은 날이 지나도
저기 뜨거운 태양처럼
변하지 않을 내 사랑이야
내 맘 모르겠니
약속해 시간이 흘러도
영원토록 식지 않을 사랑이야
Always you are my love
Love you forever"
언제나 사랑해,케이시 (Kassy),발라드,"둘이 손잡고 걸을 때
마주 보며 또 웃을 때
사랑한다 말하지 않아도 알아
널 만나러 가는 길에
내 입가에 늘 환한 미소만이
흐르고 있어
사랑해 너를 사랑해
눈물 나도록 사랑해
저기 밤하늘의 별보다
보석보다 네가 더 소중해
얼마나 내가 얼마나 너를 사랑하는지
내 모든 걸 너에게 줄게
속상하고 힘이 들 때
열이 나고 아파할 때
옆에서 늘 힘이 돼준 사람 너야
집에 돌아오는 길에
내 귓가엔 늘 너의 음성만이
흐르고 있어
사랑해 너를 사랑해
눈물 나도록 사랑해
저기 밤하늘의 별보다
보석보다 네가 더 소중해
얼마나 내가 얼마나 너를 사랑하는지
내 모든 걸 너에게 줄게
세월 지나 많이 변했을 때
미운 나의 손을 잡아줄 사람
먼 훗날 아주 먼 훗날
우리 눈 감는 그날에
나를 사랑해 준 너에게 고맙다고
후회는 없다고
사랑해 나만의 사랑
다시 태어난대도
내 사랑은 너 하나뿐야
영원히 너를 사랑해"
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마","네가 없이 웃을 수 있을까
생각만 해도 눈물이나
힘든 시간 날 지켜준 사람
이제는 내가 그댈 지킬 테니
너의 품은 항상 따뜻했어
고단했던 나의 하루에
유일한 휴식처
나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날 모든 순간 함께해
햇살처럼 빛나고 있었지
나를 보는 네 눈빛은
꿈이라고 해도 좋을 만큼
그 모든 순간은 눈부셨다
불안했던 나의 고된 삶에
한줄기 빛처럼 다가와
날 웃게 해준 너
나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날 모든 순간 함께해
알 수 없는 미래지만
네 품속에 있는 지금 순간 순간이
영원 했으면 해
갈게 바람이 좋은 날에
햇살 눈부신 어떤 날에 너에게로
처음 내게 왔던 그날처럼
모든 날 모든 순간 함께해"
봄날,방탄소년단,랩/힙합,"보고 싶다
이렇게 말하니까 더 보고 싶다
너희 사진을 보고 있어도
보고 싶다
너무 야속한 시간
나는 우리가 밉다
이젠 얼굴 한번 보는 것 조차
힘들어진 우리가
여긴 온통 겨울 뿐이야
8월에도 겨울이 와
마음은 시간을 달려가네
홀로 남은 설국열차
니 손 잡고 지구 반대편까지 가
겨울을 끝내고파
그리움들이 얼마나
눈처럼 내려야 그 봄날이 올까
Friend
허공을 떠도는
작은 먼지처럼 작은 먼지처럼
날리는 눈이 나라면
조금 더 빨리
네게 닿을 수 있을 텐데
눈꽃이 떨어져요
또 조금씩 멀어져요
보고 싶다 보고 싶다
보고 싶다 보고 싶다
얼마나 기다려야
또 몇 밤을 더 새워야
널 보게 될까 널 보게 될까
만나게 될까 만나게 될까
추운 겨울 끝을 지나
다시 봄날이 올 때까지
꽃 피울 때까지
그곳에 좀 더 머물러줘
머물러줘
니가 변한 건지
니가 변한 건지
아니면 내가 변한 건지
내가 변한 건지
이 순간 흐르는 시간조차 미워
우리가 변한 거지 뭐
모두가 그런 거지 뭐
그래 밉다 니가 넌 떠났지만
단 하루도 너를
잊은 적이 없었지 난
솔직히 보고 싶은데
이만 너를 지울게
그게 널 원망하기보단
덜 아프니까
시린 널 불어내 본다
연기처럼 하얀 연기처럼
말로는 지운다 해도
사실 난 아직 널 보내지 못하는데
눈꽃이 떨어져요
또 조금씩 멀어져요
보고 싶다 보고 싶다
보고 싶다 보고 싶다
얼마나 기다려야
또 몇 밤을 더 새워야
널 보게 될까 널 보게 될까
만나게 될까 만나게 될까
You know it all
You're my best friend
아침은 다시 올 거야
어떤 어둠도 어떤 계절도
영원할 순 없으니까
벚꽃이 피나봐요
이 겨울도 끝이 나요
보고 싶다 보고 싶다
보고 싶다 보고 싶다
조금만 기다리면
며칠 밤만 더 새우면
만나러 갈게 만나러 갈게
데리러 갈게 데리러 갈게
추운 겨울 끝을 지나
다시 봄날이 올 때까지
꽃 피울 때까지
그곳에 좀 더 머물러줘
머물러줘"
OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)",랩/힙합,"너를 사랑하고 있어
너를 사랑하고 있어
자기야 날 사랑해주면 안 될까
말처럼 쉽지는 않은 걸 알지만
세게 날 안아주면 안 될까
오늘따라 세상이 무섭단 말이야
잠깐 인공호흡을 해주라
왠지 숨이 잘 안 쉬어져서 난
날 놓을 거면 과거에 놔주라
네가 있는 시간에서 죽어갈 거야
우리 그냥 결혼하면 안 될까
돈은 내가 열심히 벌 테니까
이 세상과 내가 눈감는 날
까지만 날 사랑한다 말해주라
내가 너를 사랑해도
네가 날 안 사랑해도
우린 나름대로 행복할 거야
내 방 천장에 그려 본
내 우주에게 물어본
말은 나를 사랑하면 안 될까
오사카나 오키나와의 바다
내 뮤비들을 찍었던 곳 말이야
같이 가자 약속했었잖아
그 약속이 깨질까 봐 겁이 나
WHUTUF이 결혼한다 하던 날
진짜 처음으로 걔가 부럽더라
하얀 웨딩드레스를 입은 아름다운
너와 영원을 말할 수 있을까
가족이 되어주라
내 집이 되어주라
나도 날 줄 테니 너도 널 주라
평생의 연인이야
네 말대로 말이야
그래 별과 우주잖아
날 사랑하지 않는다면
나의 사랑 반을 받아
남은 사랑의 반도
내가 채워줄 거야 꼭
내가 너를 사랑해도
네가 날 안 사랑해도
우린 나름대로 행복할 거야
내 방 천장에 그려 본
내 우주에게 물어본
말은 나를 사랑하면 안 될까
내가 너를 사랑해도
네가 날 안 사랑해도
우린 나름대로 행복할 거야
내 방 천장에 그려 본
내 우주에게 물어본
말은 나를 사랑하면 안 될까"
strawberry moon,아이유,록/메탈,"달이 익어가니 서둘러 젊은 피야
민들레 한 송이 들고
사랑이 어지러이 떠다니는 밤이야
날아가 사뿐히 이루렴

팽팽한 어둠 사이로
떠오르는 기분
이 거대한 무중력에 혹 휘청해도
두렵진 않을 거야

푸르른 우리 위로
커다란 strawberry moon 한 스쿱
나에게 너를 맡겨볼래 eh-oh

바람을 세로질러
날아오르는 기분 so cool
삶이 어떻게 더 완벽해 ooh

다시 마주하기 어려운 행운이야
온몸에 심장이 뛰어
Oh 오히려 기꺼이 헤매고픈 밤이야
너와 길 잃을 수 있다면

맞잡은 서로의 손으로
출입구를 허문
이 무한함의 끝과 끝 또 위아래로
비행을 떠날 거야

푸르른 우리 위로
커다란 strawberry moon 한 스쿱
나에게 너를 맡겨볼래 eh-oh
바람을 세로질러
날아오르는 기분 so cool
삶이 어떻게 더 완벽해 ooh

놀라워 이보다
꿈같은 순간이 또 있을까 (더 있을까)
아마도 우리가 처음 발견한
오늘 이 밤의 모든 것, 그 위로 날아

푸르른 우리 위로
커다란 strawberry moon 한 스쿱
세상을 가져보니 어때 eh-oh

바람을 세로질러
날아오르는 기분 so cool
삶이 어떻게 더 완벽해 ooh"
Off My Face,Justin Bieber,POP,"One touch and you got me stoned
Higher than I've ever known
You call the shots and I follow
Sunrise but the night still young
No words but we speak in tongues
If you let me I might say too much
Your touch blurred my vision
It's your world and I'm just in it
Even sober I'm not thinkin' straight
'Cause I'm off my face
in love with you
I'm out my head so into you
and I don't know how you do it
But I'm forever ruined by you
ooh ooh ooh
Can't sleep
'cause I'm way too buzzed
Too late now you're in my blood
I don't hate the way you keep me up
Your touch blurred my vision
It's your world and I'm just in it
Even sober I'm not thinkin' straight
'Cause I'm off my face
in love with you
I'm out my head so into you
and I don't know how you do it
But I'm forever ruined by you
ooh ooh ooh
Ooh-ooh-ooh ooh ooh ooh ooh
Ooh-ooh-ooh ooh ooh
Ooh-ooh-ooh ooh ooh ooh ooh
Ooh-ooh-ooh ooh ooh
'Cause I'm off my face
in love with you
I'm out my head so into you
and I don't know how you do it
But I'm forever ruined by you
ooh ooh ooh
By you ooh ooh ooh"
